t,p0,p1,p2,p3,p4
0,175,70,122,131,259
30,175,70,122,131,259
60,175,287,122,131,141
90,175,43,122,131,141
120,175,43,122,131,141
150,175,282,122,141,141
180,175,282,122,259,141
210,175,183,122,180,163
240,119,7,122,180,163
270,119,78,122,178,63
300,119,78,122,178,63
330,119,7,122,127,63
360,119,175,122,127,228
390,119,175,122,127,228
420,119,175,122,12,228
450,101,31,122,135,120
480,101,31,207,135,120
510,101,31,207,135,120
540,101,31,40,262,120
570,101,31,40,262,120
600,101,31,40,262,120
630,101,31,40,222,107
660,101,31,40,222,107
690,101,31,40,228,107
720,264,284,40,120,107
750,264,284,40,120,107
780,264,163,40,120,107
810,264,163,40,120,107
840,264,146,40,120,107
870,264,146,254,84,107
900,264,146,142,84,249
930,126,146,142,274,249
960,126,146,142,274,151
990,126,146,142,274,30
1020,101,146,187,274,30
1050,101,146,187,274,84
1080,101,146,187,274,84
1110,101,146,187,232,84
1140,101,110,187,274,84
1170,101,110,187,274,274
1200,101,110,187,274,274
1230,31,234,72,274,274
1260,31,234,72,193,173
1290,31,137,72,193,173
1320,31,137,40,193,173
1350,31,137,40,47,274
1380,31,137,200,47,274
1410,31,137,200,274,274
1440,31,137,90,274,74
1470,228,137,90,32,74
1500,228,137,90,32,95
1530,228,67,90,32,272
1560,228,43,90,32,66
1590,228,43,90,164,66
1620,228,43,90,47,66
1650,228,43,90,47,66
1680,228,43,90,274,66
1710,228,43,244,274,120
1740,103,43,244,274,120
1770,103,43,273,274,120
1800,66,43,273,74,120
1830,120,43,273,74,120
1860,120,43,262,274,272
1890,120,43,262,274,272
1920,120,43,262,129,272
1950,120,43,262,129,66
1980,107,43,222,129,66
2010,107,43,228,129,66
2040,107,43,228,129,66
2070,107,43,120,129,66
2100,249,43,120,129,66
2130,249,43,120,129,66
2160,249,43,120,171,66
2190,249,43,120,171,66
2220,171,43,120,171,66
2250,65,43,107,171,66
2280,65,43,107,95,278
2310,65,43,107,95,278
2340,65,43,107,274,31
2370,65,43,65,274,31
2400,65,43,65,274,31
2430,272,43,173,274,31
2460,65,43,173,274,31
2490,65,43,274,173,31
2520,65,43,274,173,31
2550,274,141,274,173,31
2580,274,141,274,173,31
2610,168,88,274,274,101
2640,168,88,274,274,101
2670,168,251,274,274,101
2700,168,163,208,274,101
2730,168,175,208,79,124
2760,233,175,274,79,124
2790,233,180,274,85,124
2820,233,178,274,85,54
2850,203,178,35,85,54
2880,203,178,247,85,142
2910,193,12,247,23,142
2940,69,12,247,23,40
2970,69,12,247,23,40
3000,143,127,247,23,260
3030,143,12,274,23,260
3060,19,127,274,274,260
3090,19,10,274,274,150
3120,19,10,274,274,150
3150,19,139,32,32,150
3180,19,0,32,32,150
3210,32,221,32,32,150
3240,32,221,32,32,150
3270,32,221,32,32,202
3300,32,221,32,32,202
3330,32,221,232,32,202
3360,32,121,71,32,202
3390,32,121,71,32,150
3420,32,121,32,32,150
3450,32,121,32,32,150
3480,32,121,32,32,150
3510,75,220,32,32,150
3540,75,0,75,32,202
3570,75,25,75,177,202
3600,32,81,75,177,202
3630,32,81,75,177,202
3660,32,81,75,208,150
3690,32,81,32,208,202
3720,32,270,32,208,202
3750,32,270,32,134,202
3780,32,121,177,134,22
3810,32,121,177,134,22
3840,32,121,32,134,22
3870,32,121,32,134,22
3900,32,121,208,134,22
3930,32,220,208,134,22
3960,32,220,274,134,22
3990,177,220,274,134,22
4020,177,220,274,134,227
4050,177,220,274,134,227
4080,177,220,274,134,227
4110,177,220,274,134,227
4140,177,0,274,134,227
4170,177,25,274,134,227
4200,177,21,210,134,227
4230,177,21,210,134,227
4260,177,21,210,134,227
4290,177,191,210,134,227
4320,177,240,210,134,227
4350,177,240,210,134,227
4380,47,81,274,134,150
4410,47,81,274,134,150
4440,47,185,274,134,227
