t,p0,p1,p2,p3,p4
0,33,77,36,98,84
30,33,77,36,98,84
60,33,77,36,98,84
90,33,48,36,98,84
120,33,98,31,98,84
150,33,98,31,31,84
180,33,63,31,31,97
210,33,63,31,31,97
240,33,15,31,85,91
270,33,15,31,85,97
300,33,15,31,85,69
330,33,15,31,85,69
360,33,45,31,85,69
390,33,45,31,85,69
420,27,45,31,79,25
450,27,48,31,79,25
480,13,48,31,79,54
510,13,39,74,79,54
540,13,39,74,79,54
570,13,39,58,85,54
600,13,39,58,85,54
630,13,39,58,85,54
660,13,39,58,85,54
690,83,39,24,30,54
720,83,39,24,30,54
750,83,39,24,24,90
780,83,39,82,24,90
810,83,39,82,24,90
840,83,39,54,54,90
870,83,39,54,54,90
900,83,39,54,54,90
930,83,39,54,11,90
960,83,39,54,11,90
990,83,39,54,11,90
1020,83,39,54,11,54
1050,83,39,54,11,54
1080,83,39,54,11,54
1110,83,39,54,11,54
1140,83,39,54,11,54
1170,83,39,54,54,54
1200,83,39,54,54,54
1230,83,39,54,54,54
1260,83,39,54,54,54
1290,83,39,54,54,54
1320,83,39,54,54,54
1350,83,39,54,54,54
1380,83,39,54,54,54
1410,83,39,54,54,54
1440,83,39,54,90,54
1470,83,39,54,90,54
1500,83,39,54,90,54
1530,83,39,54,90,90
1560,83,39,54,90,90
1590,83,39,56,90,90
1620,83,39,54,90,90
1650,83,39,54,90,90
1680,83,39,54,90,90
1710,83,39,54,90,90
1740,83,39,54,90,90
1770,83,39,54,90,90
1800,83,39,54,90,90
1830,83,39,54,90,90
1860,83,39,54,90,90
1890,83,39,54,90,90
1920,83,39,54,90,90
1950,83,39,54,90,90
1980,83,39,54,11,90
2010,83,39,90,11,46
2040,83,39,90,11,46
2070,83,39,54,11,46
2100,83,39,54,68,46
2130,72,39,54,11,46
2160,72,39,82,11,46
2190,72,39,82,11,46
2220,72,39,54,11,46
2250,72,39,54,11,46
2280,72,39,54,11,46
2310,72,39,54,54,46
2340,72,39,54,54,46
2370,72,39,54,54,46
2400,72,39,69,54,46
2430,72,39,69,54,46
2460,72,39,30,54,46
2490,0,39,30,54,46
2520,0,39,25,54,90
2550,0,63,97,54,90
2580,0,63,97,25,90
2610,0,31,97,69,90
2640,0,31,97,69,90
2670,72,31,97,30,90
2700,72,45,97,30,90
2730,72,45,97,30,54
2760,72,45,97,30,54
2790,72,34,97,69,54
2820,72,34,97,25,54
2850,72,34,97,25,25
2880,72,67,83,25,25
2910,83,29,83,25,25
2940,83,29,83,25,25
2970,83,29,83,54,25
3000,83,29,83,54,56
3030,83,29,83,54,56
3060,83,29,83,54,56
3090,83,43,83,54,56
3120,83,43,83,90,56
3150,72,53,83,90,56
3180,72,53,72,90,56
3210,72,53,72,11,56
3240,72,53,72,11,8
3270,72,53,72,11,8
3300,72,53,72,11,8
3330,72,43,72,11,8
3360,72,43,72,11,68
3390,72,43,72,11,68
3420,72,43,0,11,68
3450,72,53,0,68,68
3480,72,53,0,68,68
3510,72,53,72,68,68
3540,0,53,72,68,68
3570,72,53,72,68,68
3600,72,53,72,68,68
3630,72,53,72,17,68
3660,72,53,72,68,68
3690,72,53,72,68,68
3720,72,53,72,68,68
3750,72,53,72,68,68
3780,72,43,72,68,68
3810,72,43,72,68,68
3840,72,43,72,68,68
3870,72,43,72,68,68
3900,72,53,72,68,68
3930,72,53,72,68,68
3960,72,53,72,68,68
3990,72,53,72,68,68
4020,72,53,72,68,68
4050,72,53,72,68,68
4080,72,53,72,68,68
4110,72,53,72,68,68
4140,72,53,72,68,68
4170,72,53,72,68,68
4200,72,53,72,68,68
4230,72,53,72,68,68
4260,72,53,72,68,68
4290,72,53,72,68,68
4320,72,53,72,68,68
4350,72,53,72,68,68
4380,72,43,72,68,68
4410,72,43,72,68,68
4440,72,43,72,8,68
4470,72,43,72,8,68
4500,72,43,72,8,8
4530,72,43,72,8,8
4560,72,43,72,8,8
4590,72,43,72,56,8
4620,72,43,72,56,8
4650,72,43,72,11,8
4680,72,53,72,8,8
4710,72,53,72,11,8
4740,72,53,72,11,8
