t,p0,p1,p2,p3,p4
0,76,67,61,81,76
30,21,67,61,81,76
60,21,67,61,28,76
90,68,67,61,28,76
120,68,67,61,28,76
150,68,67,61,28,76
180,68,67,61,28,76
210,70,67,61,61,76
240,70,67,61,61,76
270,77,67,61,72,76
300,77,67,61,72,76
330,79,67,61,72,76
360,79,67,61,72,76
390,79,67,61,72,76
420,79,67,72,72,76
450,79,67,72,72,76
480,79,67,72,72,76
510,54,67,72,72,76
540,54,67,72,72,76
570,54,36,72,66,76
600,54,36,72,66,76
630,80,36,72,66,76
660,80,36,72,66,76
690,80,36,72,66,76
720,80,36,72,66,76
750,80,36,72,66,76
780,41,36,8,66,76
810,41,36,8,16,76
840,41,93,8,16,76
870,41,93,8,16,76
900,41,93,8,16,76
930,41,93,8,16,76
960,41,93,8,16,76
990,41,93,8,16,76
1020,41,36,8,16,76
1050,44,36,8,66,76
1080,44,36,8,66,76
1110,44,36,8,66,76
1140,44,36,66,66,76
1170,44,36,66,66,76
1200,44,36,66,66,76
1230,45,36,66,66,76
1260,45,36,22,66,76
1290,67,36,22,66,76
1320,67,36,22,66,76
1350,67,36,22,66,76
1380,67,36,8,66,76
1410,67,36,8,66,76
1440,67,36,8,16,76
1470,67,36,8,16,76
1500,67,36,8,8,76
1530,67,36,8,8,76
1560,67,36,8,8,76
1590,67,36,90,8,76
1620,67,36,90,90,76
1650,67,93,90,58,76
1680,67,93,90,58,76
1710,67,93,90,58,76
1740,67,93,90,90,76
1770,36,93,90,90,76
1800,36,93,90,90,76
1830,36,93,90,90,76
1860,36,93,90,90,76
1890,36,93,90,90,76
1920,36,93,90,90,76
1950,36,93,90,90,76
1980,36,93,90,90,76
2010,36,93,90,90,76
2040,36,93,90,90,76
2070,36,93,90,8,76
2100,36,93,90,8,76
2130,36,93,90,8,76
2160,36,93,8,8,76
2190,36,93,8,8,76
2220,36,93,8,16,76
2250,36,93,8,16,76
2280,36,93,8,66,76
2310,36,93,8,66,76
2340,93,93,72,66,76
2370,93,93,72,66,76
2400,93,93,72,66,76
2430,93,93,72,66,76
2460,93,93,42,66,76
2490,93,93,42,66,76
2520,93,93,28,72,76
2550,93,93,28,72,76
2580,93,93,28,72,76
2610,93,36,28,72,76
2640,93,36,28,28,76
2670,93,36,28,28,76
2700,93,36,28,61,76
2730,93,36,28,61,76
2760,93,36,28,61,76
2790,93,36,28,61,76
2820,93,36,28,61,76
2850,93,36,28,61,76
2880,93,36,28,61,76
2910,93,36,28,61,76
2940,93,36,28,61,76
2970,93,36,61,61,76
3000,93,36,61,61,76
3030,93,36,61,61,76
3060,93,93,61,61,76
3090,93,93,61,61,76
3120,93,93,61,61,76
3150,29,93,72,72,76
3180,29,93,12,42,76
3210,29,93,12,42,76
3240,29,51,12,42,76
3270,51,51,12,42,76
3300,51,51,12,42,76
3330,51,51,12,42,76
3360,51,51,12,12,76
3390,51,51,12,12,76
3420,51,51,12,12,76
3450,29,51,12,12,76
3480,29,51,12,25,76
3510,51,51,25,25,76
3540,51,51,25,25,76
3570,51,51,25,25,76
3600,51,51,25,25,76
3630,51,51,25,25,76
3660,51,51,25,25,76
3690,51,51,25,56,76
3720,51,51,25,56,76
3750,51,51,25,56,76
3780,51,29,25,56,76
3810,51,29,25,56,76
3840,51,29,25,56,76
3870,51,17,25,56,76
3900,29,17,69,56,76
3930,29,17,69,56,76
3960,17,17,69,56,76
3990,17,27,18,56,76
4020,17,27,18,56,76
4050,17,27,69,56,76
4080,17,17,69,56,76
4110,17,17,18,56,76
4140,17,17,18,56,76
4170,17,17,18,56,76
4200,17,17,18,56,76
4230,17,17,56,56,76
4260,17,17,56,56,76
4290,17,17,0,56,76
4320,17,17,0,56,76
4350,17,17,0,18,76
4380,17,17,0,18,76
4410,17,17,0,0,76
4440,17,17,56,0,76
4470,17,17,56,18,76
4500,17,17,56,18,76
4530,17,17,56,18,76
4560,17,17,56,47,76
4590,17,17,56,47,76
4620,17,17,56,56,76
4650,17,17,56,0,76
4680,17,17,47,0,76
4710,17,17,47,18,76
4740,17,17,47,18,76
4770,17,17,18,18,76
4800,17,17,18,18,76
4830,17,17,0,18,76
4860,17,17,56,18,76
4890,51,51,56,18,76
4920,51,51,56,18,76
4950,51,51,48,47,76
4980,51,51,48,47,76
5010,51,17,48,47,76
5040,51,17,48,47,76
5070,51,17,15,47,76
5100,51,17,15,47,76
5130,20,17,15,56,76
5160,20,17,48,56,76
5190,20,17,48,56,76
5220,20,17,48,56,76
5250,20,17,48,56,76
5280,20,17,48,47,76
5310,20,17,48,47,76
5340,20,17,48,47,76
5370,20,17,48,47,76
5400,20,17,0,47,76
5430,17,27,0,47,76
5460,17,27,0,47,76
5490,27,27,0,47,76
5520,27,27,0,47,76
5550,27,27,0,47,76
5580,27,27,0,47,76
5610,27,27,0,47,76
5640,27,29,0,47,76
5670,27,29,0,18,76
5700,27,29,90,18,76
5730,17,29,90,18,76
5760,17,29,90,18,76
5790,17,29,90,18,76
5820,17,29,58,18,76
5850,17,29,58,69,76
5880,17,29,25,69,76
5910,17,29,25,69,76
5940,17,29,25,69,76
5970,17,29,25,69,76
6000,17,29,25,69,76
6030,29,29,56,69,76
6060,29,87,56,69,76
6090,29,87,69,69,76
6120,29,87,69,69,76
6150,29,87,69,69,76
6180,29,87,69,69,76
6210,29,87,69,69,76
6240,29,87,69,69,76
6270,29,51,0,69,76
6300,17,51,0,69,76
6330,17,51,0,69,76
6360,17,51,0,69,76
6390,17,51,0,69,76
6420,17,29,0,69,76
6450,17,29,0,69,76
6480,17,29,56,0,76
6510,29,29,56,0,76
6540,29,29,69,25,76
6570,29,29,69,25,76
6600,29,29,0,25,76
6630,51,29,0,25,76
6660,51,51,69,25,76
6690,51,51,25,25,76
6720,51,51,25,25,76
6750,51,51,25,25,76
6780,29,51,25,25,76
6810,29,51,25,25,76
6840,29,51,25,25,76
6870,29,29,25,8,76
6900,29,29,25,12,76
6930,51,29,25,12,76
6960,51,29,25,12,76
6990,51,51,25,25,76
7020,51,51,25,25,76
7050,51,51,69,25,76
7080,51,29,69,25,76
7110,51,29,69,25,76
7140,51,29,56,69,76
7170,29,29,56,69,76
7200,29,29,56,69,76
7230,29,29,56,71,76
7260,29,29,0,71,76
7290,29,29,0,59,76
7320,29,51,56,59,76
7350,29,51,56,71,76
7380,29,51,56,56,76
7410,51,51,56,56,76
7440,51,51,69,56,76
7470,51,51,69,69,76
7500,51,51,69,69,76
7530,51,51,69,69,76
7560,51,51,71,71,76
7590,51,51,71,71,76
7620,93,51,25,71,76
7650,93,51,25,71,76
7680,93,51,25,71,76
7710,93,51,56,71,76
7740,93,51,56,71,76
7770,93,51,56,71,76
7800,93,51,56,71,76
7830,93,29,69,71,76
7860,93,51,56,71,76
7890,51,51,56,69,76
7920,51,51,0,69,76
7950,51,51,69,69,76
7980,51,51,56,69,76
8010,51,51,56,69,76
8040,51,51,69,69,76
8070,51,51,69,69,76
8100,29,51,69,69,76
8130,29,51,56,69,76
8160,29,51,56,69,76
8190,51,51,56,69,76
8220,51,51,69,69,76
8250,51,51,69,69,76
8280,51,51,56,69,76
8310,51,51,56,69,76
8340,51,51,56,0,76
8370,51,51,56,0,76
8400,51,51,18,69,76
8430,51,51,18,69,76
8460,51,51,18,69,76
8490,51,51,18,56,76
8520,93,51,18,56,76
8550,93,51,0,56,76
8580,93,51,69,56,76
8610,93,51,69,69,76
8640,93,51,71,69,76
8670,93,51,71,69,76
8700,29,51,71,69,76
8730,29,51,71,69,76
8760,51,51,71,25,76
8790,51,51,71,25,76
8820,51,51,25,25,76
8850,51,51,25,25,76
8880,51,51,25,25,76
8910,51,51,25,25,76
8940,51,51,25,25,76
8970,51,51,25,25,76
9000,51,51,25,25,76
9030,51,51,25,12,76
9060,51,51,25,12,76
9090,51,51,25,12,76
9120,51,51,71,12,76
9150,51,51,25,66,76
9180,51,51,56,66,76
9210,51,29,56,66,76
9240,51,29,56,66,76
9270,51,29,56,66,76
9300,51,29,56,16,76
9330,51,29,69,8,76
9360,51,51,69,8,76
9390,29,51,69,8,76
9420,29,51,69,8,76
9450,29,29,69,56,76
9480,29,29,69,56,76
9510,29,29,69,56,76
9540,51,29,69,56,76
9570,29,17,69,56,76
9600,29,17,69,69,76
9630,29,17,69,69,76
9660,6,17,6,56,76
9690,6,17,6,56,76
9720,6,17,6,56,76
9750,6,17,6,56,76
9780,6,17,6,94,76
9810,6,17,6,94,76
9840,6,17,6,94,76
9870,6,17,6,94,76
9900,6,17,53,94,76
9930,6,17,53,94,76
9960,54,17,54,94,76
9990,54,17,54,94,76
10020,53,17,54,94,76
10050,53,17,54,94,76
10080,53,17,54,94,76
10110,53,17,54,94,76
10140,53,17,78,94,76
10170,53,17,62,94,76
10200,53,17,62,94,76
10230,53,17,62,28,76
10260,53,17,62,28,76
10290,6,17,62,28,76
10320,6,17,21,28,76
10350,54,17,21,28,76
10380,53,17,33,28,76
10410,53,17,33,28,76
10440,54,17,33,28,76
10470,79,17,65,28,76
10500,79,17,65,28,76
10530,79,17,92,28,76
10560,79,17,92,28,76
10590,79,29,92,12,76
10620,79,17,92,12,76
10650,79,17,87,12,76
10680,79,17,87,12,76
10710,79,29,87,12,76
10740,79,29,87,12,76
10770,79,17,87,12,76
10800,79,17,87,12,76
10830,79,17,87,12,76
10860,79,17,87,12,76
10890,80,17,87,25,76
10920,80,17,87,25,76
10950,41,17,61,25,76
10980,41,17,61,25,76
11010,41,17,61,56,76
11040,41,17,61,56,76
11070,41,17,61,56,76
11100,41,17,61,56,76
11130,41,20,61,56,76
11160,41,20,61,71,76
11190,41,87,61,25,76
11220,41,87,61,25,76
11250,41,87,61,25,76
11280,38,87,61,25,76
11310,38,87,61,56,76
11340,32,87,12,69,76
11370,32,87,12,69,76
11400,32,87,12,69,76
11430,32,87,12,56,76
11460,30,51,12,56,76
11490,30,51,12,56,76
11520,30,51,12,56,76
11550,30,29,12,56,76
11580,30,29,12,56,76
11610,32,29,12,56,76
11640,32,29,12,56,76
11670,32,29,12,56,76
11700,32,29,12,56,76
11730,32,29,12,56,76
11760,32,29,90,56,76
11790,32,29,90,56,76
11820,32,29,90,56,76
11850,87,29,98,56,76
11880,87,29,25,56,76
11910,87,29,25,56,76
11940,87,29,25,56,76
11970,87,29,25,47,76
12000,87,29,25,47,76
12030,87,51,25,47,76
12060,87,51,25,47,76
12090,87,51,25,47,76
12120,87,29,25,47,76
12150,87,29,25,47,76
12180,87,29,25,47,76
12210,87,29,56,69,76
12240,87,29,56,69,76
12270,87,29,90,69,76
12300,87,29,90,69,76
12330,94,29,8,56,76
12360,94,29,8,25,76
12390,94,29,8,25,76
12420,94,29,8,25,76
12450,6,29,8,12,76
12480,57,29,8,12,76
12510,57,29,8,12,76
12540,57,29,4,12,76
12570,57,29,4,42,76
12600,35,29,4,42,76
12630,35,29,4,42,76
12660,35,51,4,42,76
12690,11,51,22,42,76
12720,11,51,22,42,76
12750,11,51,22,42,76
12780,11,29,22,42,76
12810,11,29,22,12,76
12840,9,29,22,12,76
12870,9,29,22,12,76
12900,9,51,22,12,76
12930,9,51,22,12,76
12960,7,51,22,12,76
12990,7,29,22,12,76
13020,35,29,22,12,76
13050,35,29,22,8,76
13080,35,29,22,8,76
13110,35,51,22,8,76
13140,50,29,22,8,76
13170,50,29,22,8,76
13200,50,29,87,25,76
13230,50,29,8,25,76
13260,50,29,8,98,76
13290,50,17,8,98,76
13320,50,17,8,56,76
13350,50,17,8,56,76
13380,50,17,8,56,76
13410,7,29,98,69,76
13440,50,29,98,25,76
13470,50,51,8,25,76
13500,50,51,8,25,76
13530,50,51,8,25,76
13560,50,51,8,25,76
13590,50,51,8,98,76
13620,50,51,8,98,76
13650,50,51,8,90,76
13680,50,29,8,90,76
13710,50,29,8,98,76
13740,50,29,8,98,76
13770,50,29,8,15,76
13800,26,29,8,15,76
13830,26,29,8,15,76
13860,26,29,87,15,76
13890,26,51,87,15,76
13920,26,51,87,15,76
13950,26,51,87,15,76
13980,26,51,87,15,76
14010,10,51,87,15,76
14040,9,51,87,89,76
14070,9,51,87,58,76
14100,9,51,87,58,76
14130,9,51,87,58,76
14160,9,51,87,58,76
14190,9,29,94,98,76
14220,11,29,94,98,76
14250,11,29,61,98,76
14280,11,29,61,25,76
14310,11,51,61,25,76
14340,57,51,61,25,76
14370,57,51,61,25,76
14400,57,51,61,25,76
14430,16,51,61,25,76
14460,16,51,61,71,76
14490,22,51,61,71,76
14520,22,51,61,71,76
14550,16,51,61,71,76
14580,16,51,61,71,76
14610,22,51,61,71,76
14640,22,51,61,71,76
14670,8,51,61,71,76
14700,8,51,42,56,76
14730,8,51,42,56,76
14760,8,51,12,56,76
14790,8,51,12,56,76
14820,8,45,12,69,76
14850,90,45,12,47,76
14880,90,45,12,47,76
14910,90,45,12,47,76
14940,48,45,12,47,76
14970,48,45,12,47,76
15000,48,45,8,47,76
15030,48,45,8,47,76
15060,48,45,8,0,76
15090,48,45,8,0,76
15120,48,45,8,0,76
15150,48,45,8,0,76
15180,48,45,66,47,76
15210,48,45,66,47,76
15240,48,45,66,47,76
15270,48,45,66,47,76
15300,48,45,66,47,76
15330,48,45,16,47,76
15360,48,93,16,47,76
15390,48,93,8,47,76
15420,48,93,8,47,76
15450,48,93,8,69,76
15480,48,93,8,69,76
15510,15,93,8,69,76
15540,15,93,8,98,76
15570,15,93,8,98,76
15600,48,93,8,56,76
15630,48,93,8,56,76
15660,98,93,8,56,76
15690,98,93,90,56,76
15720,25,93,90,56,76
15750,25,93,90,0,76
15780,25,51,90,56,76
15810,25,51,90,56,76
15840,25,51,90,56,76
15870,73,51,90,69,76
15900,73,51,90,69,76
15930,71,29,90,69,76
15960,71,29,98,69,76
15990,71,51,98,69,76
16020,71,51,48,69,76
16050,71,51,48,69,76
16080,71,51,48,69,76
16110,71,51,48,56,76
16140,71,29,48,56,76
16170,71,29,48,56,76
16200,71,29,90,56,76
16230,71,29,98,25,76
16260,71,29,25,25,76
16290,71,29,25,25,76
16320,71,29,25,25,76
16350,71,29,98,25,76
16380,73,29,98,25,76
16410,73,93,98,25,76
16440,73,93,98,25,76
16470,73,93,98,87,76
16500,73,93,56,87,76
16530,73,93,90,87,76
16560,73,93,90,87,76
16590,72,93,90,87,76
16620,72,93,48,87,76
16650,72,93,48,87,76
16680,72,93,48,87,76
16710,72,93,15,87,76
16740,12,51,15,87,76
16770,12,51,15,87,76
16800,12,51,88,87,76
16830,12,51,88,87,76
16860,12,51,9,87,76
16890,12,51,9,87,76
16920,12,51,9,87,76
16950,12,51,9,87,76
16980,73,51,9,87,76
17010,73,51,9,87,76
17040,73,51,35,87,76
17070,73,51,35,87,76
17100,73,51,35,87,76
17130,73,51,35,87,76
17160,73,51,35,87,76
17190,73,51,35,87,76
17220,73,51,35,87,76
17250,73,51,35,87,76
17280,73,51,57,87,76
17310,73,51,57,42,76
17340,73,51,57,42,76
17370,73,51,22,12,76
17400,73,87,22,12,76
17430,73,87,16,12,76
17460,73,87,16,12,76
17490,73,87,22,12,76
17520,73,87,22,12,76
