t,p0,p1,p2,p3,p4
0,73,111,10,8,26
30,73,111,10,8,26
60,73,111,10,8,26
90,73,8,10,8,26
120,73,184,10,8,26
150,73,184,10,28,26
180,73,7,29,28,26
210,73,7,29,29,26
240,73,7,29,29,25
270,73,7,29,62,26
300,73,53,29,62,146
330,73,53,29,62,146
360,73,156,29,62,146
390,73,156,29,62,146
420,73,156,29,60,51
450,73,92,29,161,51
480,102,92,29,60,146
510,102,8,29,60,69
540,102,8,29,60,69
570,102,8,29,121,172
600,102,8,29,121,172
630,102,8,29,194,172
660,102,8,29,194,75
690,137,8,29,93,75
720,137,8,29,93,75
750,187,8,29,29,75
780,187,8,29,173,75
810,187,8,29,171,75
840,187,8,69,171,75
870,159,8,69,171,75
900,159,8,75,171,75
930,159,8,75,171,75
960,159,8,69,171,75
990,159,8,69,171,75
1020,102,8,178,171,72
1050,102,8,178,171,72
1080,102,8,178,43,72
1110,102,8,178,51,72
1140,102,8,178,51,69
1170,102,8,178,172,72
1200,102,8,178,51,69
1230,102,8,178,69,69
1260,102,8,178,69,69
1290,102,8,178,69,69
1320,102,8,178,69,69
1350,102,8,178,69,75
1380,102,8,178,69,75
1410,102,8,178,69,75
1440,102,8,178,75,69
1470,102,8,178,75,69
1500,102,8,178,75,75
1530,102,8,178,75,69
1560,102,8,178,75,69
1590,102,8,146,75,72
1620,102,8,178,75,72
1650,102,8,178,75,75
1680,102,8,178,75,69
1710,102,8,178,75,69
1740,102,8,178,75,69
1770,102,8,178,75,69
1800,102,8,178,75,69
1830,102,8,178,171,69
1860,102,8,178,171,69
1890,102,8,69,171,72
1920,102,8,69,171,72
1950,102,8,69,171,72
1980,102,8,69,171,72
2010,102,8,75,171,116
2040,102,8,75,43,116
2070,102,8,72,43,149
2100,102,8,72,124,149
2130,102,8,72,124,115
2160,102,8,72,124,115
2190,102,8,72,124,149
2220,102,8,69,124,149
2250,102,8,69,124,149
2280,102,8,69,124,149
2310,102,8,69,75,149
2340,102,8,69,75,149
2370,102,8,75,75,149
2400,49,8,26,75,149
2430,49,8,26,75,149
2460,49,8,146,75,149
2490,141,92,146,75,110
2520,141,92,26,75,72
2550,141,7,26,75,72
2580,142,7,26,69,72
2610,142,7,146,26,72
2640,164,7,146,26,72
2670,49,7,27,146,75
2700,49,7,27,146,75
2730,165,7,27,146,75
2760,165,7,174,146,75
2790,165,7,174,27,69
2820,165,7,174,26,69
2850,165,7,174,69,75
2880,165,189,159,69,75
2910,102,189,159,69,75
2940,102,189,102,69,51
2970,143,189,102,172,51
3000,159,182,102,172,178
3030,159,182,102,172,178
3060,9,194,102,172,178
3090,174,140,159,172,178
3120,174,140,159,171,178
3150,80,122,159,171,178
3180,80,122,102,171,178
3210,96,122,174,171,178
3240,96,140,174,171,50
3270,96,140,80,171,50
3300,96,140,80,171,191
3330,82,67,80,43,191
3360,159,67,80,43,61
3390,159,67,80,43,61
3420,159,67,80,43,61
3450,159,128,80,127,61
3480,141,128,80,127,41
3510,141,128,80,127,41
3540,159,122,80,51,106
3570,80,122,82,106,106
3600,80,122,82,41,106
3630,80,122,82,41,106
3660,49,122,82,64,106
3690,49,32,82,64,51
3720,165,118,82,170,127
3750,165,118,82,170,127
3780,159,67,159,191,127
3810,159,67,159,191,127
3840,159,118,159,126,127
3870,80,194,159,126,41
3900,141,128,159,126,41
3930,141,128,159,61,41
3960,141,185,159,61,179
3990,80,185,159,127,179
4020,80,185,82,127,41
4050,159,185,82,127,41
4080,159,67,82,127,41
4110,80,67,82,64,64
4140,165,140,82,64,64
4170,96,140,80,64,64
4200,96,140,159,179,61
4230,96,140,159,179,61
4260,96,140,80,179,61
4290,96,140,142,179,41
4320,96,140,142,179,179
4350,96,67,96,179,64
4380,96,140,80,179,41
4410,96,140,80,152,41
4440,159,140,96,76,41
4470,80,140,96,76,41
4500,80,140,96,64,191
4530,80,140,96,64,191
4560,80,140,96,64,191
4590,80,140,96,51,191
4620,80,140,96,51,191
4650,80,194,96,51,152
4680,80,140,96,51,152
4710,80,140,96,126,152
4740,165,122,96,126,50
4770,96,122,96,51,50
4800,96,32,96,51,191
4830,96,122,96,51,191
4860,96,122,96,51,191
4890,96,122,159,51,61
4920,49,122,159,171,61
4950,49,122,159,171,61
4980,49,122,49,171,61
5010,49,37,49,76,50
5040,49,37,80,76,50
5070,49,37,80,126,50
5100,164,118,80,51,50
5130,164,118,80,51,50
5160,148,118,80,51,61
5190,148,118,80,51,61
5220,142,118,80,51,126
5250,142,118,165,51,76
5280,142,67,165,51,152
5310,169,67,165,51,50
5340,169,67,80,51,50
5370,142,67,141,51,50
5400,142,67,141,171,50
5430,142,67,141,51,50
5460,142,67,80,51,50
5490,142,67,80,72,50
5520,141,67,80,29,129
5550,169,185,80,173,129
5580,169,185,104,173,129
5610,169,185,104,171,129
5640,169,185,104,171,178
5670,169,194,104,51,178
5700,169,194,104,51,51
5730,169,194,104,69,51
5760,169,194,104,171,51
5790,169,194,104,171,50
5820,134,194,104,51,50
5850,169,194,80,51,50
5880,169,194,80,171,50
5910,169,194,80,51,51
5940,134,194,80,130,51
5970,113,194,80,130,51
6000,113,194,80,130,51
6030,113,118,80,130,51
6060,134,118,80,130,191
6090,134,118,80,186,191
6120,134,118,80,186,41
6150,134,118,80,59,41
6180,134,118,80,59,41
6210,134,67,113,186,41
6240,134,67,113,37,41
6270,134,67,113,37,41
6300,134,140,113,175,41
6330,134,140,119,34,41
6360,134,140,119,34,41
6390,134,140,119,190,41
6420,134,140,119,190,41
6450,134,140,119,116,41
6480,169,140,119,116,41
6510,168,67,119,110,64
6540,168,67,9,110,41
6570,168,67,9,44,41
6600,80,118,9,44,41
6630,113,140,147,44,191
6660,113,140,147,106,191
6690,113,140,119,106,191
6720,113,122,119,41,191
6750,104,122,119,41,41
6780,104,122,119,41,41
6810,80,122,119,41,41
6840,80,122,119,41,41
6870,80,122,119,64,35
6900,80,140,119,64,35
6930,80,140,119,35,35
6960,80,140,119,35,35
6990,80,140,119,35,35
7020,80,140,119,35,35
7050,169,140,119,57,149
7080,169,140,119,57,149
7110,169,140,119,35,35
7140,142,118,119,35,41
7170,80,118,174,35,41
7200,80,128,174,35,41
7230,165,128,40,13,41
7260,80,128,40,13,41
7290,169,185,40,13,41
7320,169,185,143,43,41
7350,80,185,143,43,26
7380,80,185,138,181,26
7410,80,185,138,181,26
7440,80,185,113,181,26
7470,80,185,113,181,26
7500,80,185,89,181,26
7530,82,189,139,106,26
7560,82,189,139,106,26
7590,82,194,138,106,26
7620,82,194,138,106,26
7650,82,151,138,41,26
7680,82,67,139,55,26
7710,82,67,139,55,26
7740,82,67,40,55,101
7770,82,67,40,55,101
7800,82,67,174,41,101
7830,82,67,174,55,101
7860,82,67,102,35,101
7890,82,67,102,35,101
7920,82,118,102,35,101
7950,82,118,102,66,101
7980,96,140,102,66,101
8010,96,140,80,66,101
8040,96,140,80,66,39
8070,96,140,174,66,39
8100,165,140,174,66,39
8130,165,140,174,64,41
8160,165,140,174,41,41
8190,165,140,119,41,41
8220,165,122,119,41,41
8250,165,122,119,152,41
8280,49,140,136,152,41
8310,148,140,136,51,41
8340,148,140,136,51,41
8370,148,140,119,51,41
8400,80,140,119,51,41
8430,80,140,119,51,76
8460,80,140,119,51,76
8490,80,140,119,51,152
8520,80,140,119,51,152
8550,97,140,119,51,50
8580,97,140,119,191,191
8610,80,140,119,50,191
8640,80,140,174,50,191
8670,141,140,174,61,191
8700,141,140,9,61,61
8730,141,140,141,61,61
8760,165,140,141,43,61
8790,141,140,80,149,61
8820,141,140,80,149,106
8850,141,122,80,149,106
8880,164,122,80,149,106
8910,164,122,80,44,41
8940,142,32,80,44,41
8970,49,32,80,44,41
9000,49,140,80,44,41
9030,165,140,80,44,41
9060,165,185,80,106,41
9090,165,185,80,106,41
9120,165,140,96,106,41
9150,159,140,165,41,41
9180,159,67,165,61,41
9210,159,67,165,39,41
9240,159,67,165,39,61
9270,82,67,165,179,61
9300,96,67,102,43,61
9330,96,118,102,41,152
9360,49,194,102,51,152
9390,49,194,102,51,50
9420,49,140,102,51,50
9450,49,140,102,171,50
9480,49,140,102,171,50
9510,49,140,174,51,50
9540,49,122,9,51,76
9570,49,122,9,130,76
9600,49,32,136,130,191
9630,49,122,136,130,191
9660,49,122,136,130,152
9690,49,122,136,130,152
9720,80,122,136,186,152
9750,80,122,136,186,152
9780,80,37,136,62,152
9810,80,37,138,62,191
9840,80,37,136,62,191
9870,80,190,136,62,191
9900,165,190,89,128,191
9930,165,190,89,128,191
9960,165,190,89,128,191
9990,80,190,138,190,191
10020,80,190,138,190,191
10050,80,59,138,190,191
10080,165,59,138,190,191
10110,165,42,138,190,191
10140,96,42,138,190,191
10170,96,42,138,90,191
10200,102,42,138,118,152
10230,102,121,138,118,152
10260,102,121,138,131,41
10290,187,37,138,131,41
10320,187,37,138,131,41
10350,187,183,138,131,41
10380,187,183,138,131,76
10410,159,37,89,131,152
10440,159,37,89,122,152
10470,159,32,89,122,191
10500,159,32,89,67,191
10530,159,32,109,67,191
10560,80,32,109,125,191
10590,80,32,109,125,191
10620,80,32,109,125,191
10650,49,32,109,125,191
10680,49,185,89,125,191
10710,49,185,138,109,191
10740,49,185,138,70,191
10770,49,185,138,138,191
10800,49,118,138,138,191
10830,49,118,136,138,191
10860,49,118,136,70,191
10890,80,118,136,70,191
10920,80,140,136,136,191
10950,80,140,154,136,191
10980,159,140,154,136,191
11010,159,140,154,136,191
11040,159,140,154,136,50
11070,80,140,154,5,50
11100,80,140,136,117,50
11130,80,140,136,117,50
11160,80,140,46,46,50
11190,80,140,46,46,50
11220,82,118,70,46,50
11250,80,118,70,136,50
11280,80,118,119,138,50
11310,80,118,104,125,50
11340,49,118,104,136,191
11370,49,118,104,136,61
11400,80,118,136,136,179
11430,80,118,136,136,179
11460,82,118,104,136,43
11490,82,118,104,136,155
11520,82,118,104,138,155
11550,159,140,104,138,155
11580,169,140,104,138,155
11610,169,140,104,89,155
11640,165,140,80,19,43
11670,82,140,80,19,88
11700,82,140,142,19,88
11730,165,140,142,19,39
11760,165,140,142,19,39
11790,165,32,142,19,39
11820,165,32,142,19,39
11850,165,32,164,19,39
11880,165,131,82,38,39
11910,165,20,82,38,39
11940,165,20,165,38,39
11970,165,42,165,38,39
12000,165,42,80,125,39
12030,165,42,80,125,39
12060,80,42,148,19,39
12090,159,42,80,19,39
12120,159,42,80,19,39
12150,159,42,80,19,39
12180,159,20,80,125,39
12210,80,20,144,125,191
12240,80,20,49,125,191
12270,80,20,49,19,191
12300,80,38,49,125,191
12330,165,38,165,125,191
12360,165,38,165,125,126
12390,159,38,142,136,126
12420,159,38,142,136,126
12450,159,38,96,136,126
12480,49,38,96,136,126
12510,49,38,96,104,191
12540,165,38,96,138,191
12570,165,38,96,138,191
12600,165,38,96,104,41
12630,80,38,96,113,41
12660,80,32,80,113,41
12690,80,32,80,113,41
12720,165,67,80,138,41
12750,165,67,113,138,41
12780,165,122,113,138,41
12810,80,122,113,138,41
12840,80,122,136,138,41
12870,137,122,136,138,41
12900,137,122,119,138,63
12930,102,122,119,138,63
12960,80,122,119,138,63
12990,80,122,119,138,63
13020,187,122,119,136,63
13050,187,122,174,136,41
13080,187,122,174,136,191
13110,159,122,174,136,152
13140,159,122,174,136,152
13170,49,122,80,136,191
13200,49,118,80,136,191
13230,159,177,80,70,191
13260,159,177,80,70,191
13290,96,177,80,70,191
13320,96,128,80,70,191
13350,96,128,80,125,191
13380,96,151,80,125,191
13410,165,151,80,136,152
13440,165,151,80,138,152
13470,165,194,80,138,152
13500,165,189,80,138,152
13530,159,151,80,138,152
13560,159,182,80,104,152
13590,159,182,80,104,152
13620,159,15,80,138,152
13650,159,15,80,113,152
13680,169,15,80,113,152
13710,169,118,80,113,152
13740,169,118,80,169,13
13770,141,194,80,169,13
13800,141,194,80,164,17
13830,164,118,80,164,17
13860,164,140,164,164,17
13890,142,140,164,142,17
13920,142,140,80,142,17
13950,142,122,80,142,57
13980,142,122,142,142,57
14010,142,122,142,80,55
14040,142,122,164,142,55
14070,80,122,165,142,55
14100,80,122,165,142,35
14130,80,122,165,174,35
14160,80,118,96,174,35
14190,141,140,96,102,35
14220,141,122,96,102,35
14250,82,122,96,102,35
14280,82,122,174,102,35
14310,82,122,174,80,13
14340,82,118,174,174,64
14370,82,118,174,174,64
14400,82,128,174,136,41
14430,165,128,174,154,41
14460,165,128,136,154,64
14490,165,128,136,154,64
14520,165,118,136,154,41
14550,82,118,136,154,41
14580,82,118,136,154,41
14610,82,140,154,154,41
14640,82,140,154,136,41
14670,159,151,154,177,41
14700,159,151,154,177,41
14730,82,118,46,177,41
14760,82,118,46,177,41
14790,82,118,46,177,41
14820,82,118,46,128,124
14850,159,118,117,128,124
14880,96,118,117,128,43
14910,96,118,117,151,171
14940,49,118,117,189,72
