t,p0,p1,p2,p3,p4
0,74,93,40,80,24
30,74,93,40,80,24
60,74,90,40,80,70
90,74,95,40,80,70
120,74,95,40,80,70
150,74,74,40,70,70
180,74,74,40,70,70
210,74,74,40,91,40
240,27,70,40,91,40
270,27,63,40,13,21
300,27,63,40,13,21
330,27,70,40,53,21
360,27,72,40,53,0
390,27,72,40,53,0
420,27,72,40,21,0
450,23,72,40,66,4
480,23,91,25,66,4
510,73,91,25,66,4
540,73,91,40,89,4
570,73,91,40,89,80
600,73,91,40,89,80
630,73,91,40,95,58
660,73,43,40,95,58
690,73,43,40,45,67
720,48,34,40,88,67
750,25,34,40,88,67
780,25,70,40,4,67
810,62,70,5,4,67
840,62,72,5,89,67
870,78,72,45,88,67
900,78,72,35,88,66
930,88,72,45,82,66
960,88,72,45,82,20
990,88,72,45,91,91
1020,79,72,32,91,91
1050,79,72,32,91,39
1080,58,72,32,91,39
1110,58,72,32,57,39
1140,58,74,32,37,39
1170,58,74,32,37,49
1200,58,74,32,37,49
1230,45,18,32,91,49
1260,45,18,32,91,22
1290,45,80,32,91,22
1320,45,80,42,91,22
1350,87,80,42,91,91
1380,87,80,79,91,27
1410,87,80,79,64,27
1440,87,80,79,64,8
1470,45,80,79,91,8
1500,45,80,58,91,23
1530,0,74,58,91,38
1560,0,74,36,91,71
1590,0,74,36,66,71
1620,0,74,36,43,71
1650,0,74,45,43,16
1680,86,74,45,91,16
1710,86,74,85,26,0
1740,4,74,85,26,0
1770,4,74,87,91,0
1800,71,74,87,64,39
1830,88,74,87,64,39
1860,88,74,85,20,22
1890,88,74,85,20,22
1920,89,74,80,43,22
1950,89,74,80,43,38
1980,4,74,95,43,38
2010,4,74,45,64,38
2040,64,74,45,64,38
2070,64,74,88,64,38
2100,67,74,88,64,38
2130,67,74,4,64,16
2160,26,74,4,27,16
2190,26,74,89,27,16
2220,26,74,89,27,48
2250,94,74,4,27,48
2280,22,74,4,39,16
2310,22,74,64,39,16
2340,22,74,64,82,74
2370,22,74,82,82,74
2400,22,74,82,82,74
2430,93,74,82,82,74
2460,57,74,82,82,40
2490,63,74,49,93,40
2520,63,74,49,93,63
2550,7,70,88,93,62
2580,7,70,88,93,62
2610,48,70,88,27,45
2640,48,70,57,27,78
2670,4,80,57,27,78
2700,4,57,23,27,78
2730,4,34,23,47,42
2760,13,34,2,47,42
2790,13,13,2,4,42
2820,13,13,2,4,42
2850,57,13,43,27,42
2880,57,13,37,27,65
2910,4,21,37,58,65
2940,45,21,37,58,84
2970,45,21,37,58,84
3000,39,62,37,93,14
3030,39,21,93,93,14
3060,91,48,93,91,14
3090,91,23,93,64,6
3120,91,23,93,64,6
3150,91,21,43,56,6
3180,91,23,43,56,6
3210,94,88,43,56,6
3240,94,88,43,56,6
3270,61,88,43,56,81
3300,61,88,43,56,83
3330,61,88,57,56,83
3360,55,47,91,56,83
3390,88,47,91,56,2
3420,88,47,56,56,83
3450,61,47,56,56,2
3480,61,47,57,56,2
3510,20,94,57,61,2
3540,20,23,56,61,83
3570,20,4,56,61,83
3600,57,47,20,61,83
3630,57,47,20,61,83
3660,66,47,20,20,59
3690,66,47,57,20,83
3720,66,13,57,20,83
3750,66,13,57,57,83
3780,66,47,57,57,2
3810,66,47,57,57,2
3840,66,47,57,57,2
3870,66,47,57,57,7
3900,66,47,55,57,7
3930,66,94,55,56,7
3960,66,94,8,56,7
3990,57,94,8,56,7
4020,57,94,37,56,88
4050,57,94,37,56,88
4080,37,94,94,56,88
4110,37,94,94,56,88
4140,37,23,94,56,88
4170,37,64,94,56,88
4200,37,4,91,56,14
4230,37,4,91,56,14
4260,37,4,39,56,14
4290,37,43,39,56,81
4320,37,91,39,56,81
4350,37,91,39,56,81
4380,20,20,64,56,2
4410,20,20,64,56,2
4440,20,21,64,56,83
4470,43,21,64,56,84
4500,43,27,64,56,21
4530,37,85,43,56,21
4560,37,85,43,56,21
4590,57,85,43,56,21
4620,57,85,43,56,21
4650,57,85,61,56,21
4680,57,62,61,94,21
4710,57,62,53,94,21
4740,57,62,53,57,21
4770,57,62,20,57,21
4800,22,62,20,22,21
4830,22,62,20,22,21
4860,20,62,20,60,21
4890,22,62,20,60,21
4920,22,21,20,60,21
4950,22,21,20,60,21
4980,20,21,20,20,21
5010,20,21,20,20,21
5040,20,21,20,63,21
5070,66,88,39,63,18
5100,66,23,39,63,18
5130,57,23,39,63,1
5160,57,23,39,63,1
5190,57,92,39,63,1
5220,57,21,39,63,1
5250,57,21,39,63,1
5280,57,21,39,63,1
5310,57,23,39,63,1
5340,57,23,39,67,81
5370,55,23,88,67,1
5400,55,23,88,57,1
5430,37,23,26,57,1
5460,37,23,26,57,74
5490,37,23,22,57,74
5520,37,23,94,57,74
5550,67,23,4,57,74
5580,43,23,4,54,74
5610,20,23,4,54,74
5640,20,23,61,54,1
5670,40,23,61,54,1
5700,40,23,43,20,1
5730,40,23,43,20,1
5760,40,23,2,43,1
5790,54,23,2,43,1
5820,54,23,2,20,1
5850,54,88,2,20,74
5880,6,88,93,61,74
5910,6,88,93,61,47
5940,6,88,6,2,47
5970,88,4,6,2,32
6000,88,4,6,23,32
6030,88,4,6,43,32
6060,88,4,6,43,67
6090,20,2,53,55,67
6120,20,2,53,20,67
6150,2,4,53,53,67
6180,93,25,60,57,67
6210,93,25,60,57,67
6240,47,77,60,57,81
6270,47,77,43,57,67
6300,47,77,43,57,67
6330,47,77,6,57,67
6360,6,77,6,78,34
6390,6,77,23,78,34
6420,2,77,23,78,7
6450,2,77,94,58,64
6480,6,26,94,58,64
6510,6,26,94,43,64
6540,20,72,94,43,64
6570,20,72,94,22,67
6600,57,85,55,22,67
6630,57,85,55,94,67
6660,94,67,55,94,67
6690,94,67,22,22,67
6720,20,88,66,22,66
6750,20,16,66,43,26
6780,20,16,94,57,26
6810,20,47,57,57,26
6840,20,47,57,56,32
6870,20,47,56,22,34
6900,55,78,56,55,34
6930,55,4,56,55,34
6960,55,4,61,55,34
6990,55,47,61,55,34
7020,55,47,66,55,64
7050,61,47,61,37,67
7080,61,47,61,37,67
7110,61,47,56,37,67
7140,22,47,56,55,67
7170,22,47,66,55,32
7200,55,47,66,55,32
7230,55,94,66,56,32
7260,22,94,55,56,32
7290,22,92,55,56,32
7320,94,16,55,57,32
7350,94,16,55,94,32
7380,94,21,55,94,32
7410,66,21,57,94,32
7440,66,21,57,94,32
7470,26,21,57,94,32
7500,26,62,56,37,32
7530,26,62,56,37,34
7560,26,62,56,37,34
7590,26,21,56,37,12
