t,p0,p1,p2,p3,p4
0,14,20,20,14,8
30,14,20,20,14,8
60,14,84,20,14,34
90,14,84,84,14,34
120,14,66,84,14,34
150,14,66,49,14,9
180,14,66,49,14,9
210,14,66,49,14,79
240,14,66,68,14,79
270,14,0,68,14,79
300,14,84,41,14,79
330,14,84,41,14,44
360,14,84,41,14,44
390,14,84,41,14,44
420,14,84,41,14,8
450,58,84,41,14,8
480,58,84,41,14,8
510,21,68,41,14,8
540,21,68,32,14,8
570,58,68,32,14,8
600,58,47,32,14,8
630,58,47,32,14,8
660,58,47,23,14,8
690,58,51,23,14,8
720,58,51,82,14,8
750,58,49,82,21,8
780,58,49,66,21,8
810,58,49,66,12,8
840,58,49,4,12,8
870,58,49,4,12,8
900,58,73,4,89,8
930,58,73,4,89,8
960,58,4,4,14,8
990,58,4,4,14,8
1020,58,4,39,14,8
1050,58,4,39,12,8
1080,58,4,39,12,8
1110,58,4,49,12,8
1140,58,4,49,12,8
1170,58,4,14,12,8
1200,58,4,14,61,8
1230,58,4,31,61,8
1260,58,4,31,61,8
1290,58,4,31,31,8
1320,58,4,31,31,8
1350,58,4,31,94,8
1380,58,4,14,94,8
1410,58,4,14,94,8
1440,58,4,14,94,8
1470,58,4,14,94,8
1500,58,4,14,97,8
1530,58,4,14,97,8
1560,58,4,14,97,8
1590,5,4,14,97,8
1620,5,4,57,97,8
1650,5,4,57,21,8
1680,21,4,31,21,8
1710,21,4,31,21,8
1740,97,4,31,21,8
1770,97,4,31,21,8
1800,97,4,31,21,8
1830,97,4,31,29,8
1860,97,4,31,38,8
1890,97,4,57,38,8
1920,97,4,57,38,8
1950,97,4,57,38,8
1980,97,4,57,38,8
2010,97,4,57,66,8
2040,97,4,57,66,8
2070,97,4,57,66,8
2100,97,4,57,66,8
2130,97,4,57,66,8
2160,97,4,57,66,8
2190,97,4,31,66,8
2220,97,4,31,66,8
2250,97,4,31,66,8
2280,97,4,31,66,8
2310,97,4,31,66,44
2340,97,4,58,66,44
2370,97,4,58,66,44
2400,97,4,58,58,44
2430,97,4,61,58,44
2460,97,4,61,58,44
2490,31,0,58,12,44
2520,31,0,58,12,44
2550,97,0,58,12,44
2580,58,0,58,12,44
2610,58,91,58,12,44
2640,12,91,58,12,44
2670,12,75,58,12,44
2700,14,75,58,12,26
2730,14,91,98,12,26
2760,14,91,98,58,8
2790,14,49,5,14,8
2820,14,49,5,14,8
2850,14,17,5,14,8
2880,91,84,5,14,8
2910,14,62,5,14,8
2940,91,62,5,14,8
2970,14,41,5,14,8
3000,14,46,5,14,8
3030,14,46,5,14,8
3060,14,24,5,14,8
3090,14,24,5,14,8
3120,14,24,5,14,8
3150,14,56,5,14,8
3180,14,24,5,14,8
3210,14,88,5,14,8
3240,14,88,5,14,8
3270,14,88,5,14,8
3300,14,88,5,14,8
3330,14,88,5,14,81
3360,14,70,5,14,81
3390,14,2,5,14,8
3420,12,46,58,14,81
3450,12,46,58,14,81
3480,12,46,58,14,81
3510,4,46,5,14,81
3540,4,46,5,14,81
3570,4,46,5,14,81
3600,4,13,5,14,89
3630,4,13,5,14,89
3660,4,13,5,14,89
3690,4,13,5,14,89
3720,4,13,58,14,89
3750,4,13,58,12,89
3780,4,85,57,12,89
3810,14,85,57,57,81
3840,14,85,57,57,81
3870,12,85,57,12,81
3900,12,19,57,12,81
3930,14,19,57,12,81
3960,14,88,14,12,57
3990,14,88,14,12,57
4020,12,88,14,12,57
4050,12,88,14,12,8
4080,12,88,14,12,8
4110,12,88,14,12,8
4140,47,88,58,12,8
4170,47,24,58,4,8
4200,47,13,76,4,8
4230,89,13,76,4,8
4260,89,13,76,14,8
4290,89,13,76,14,8
4320,14,13,57,14,8
4350,14,13,57,14,64
4380,14,88,57,14,64
4410,14,88,57,12,64
4440,14,68,57,12,64
4470,14,24,57,12,40
4500,17,24,57,12,9
4530,17,24,31,4,9
4560,37,24,31,4,9
4590,37,88,31,4,44
4620,4,88,31,4,44
4650,4,88,31,4,44
4680,4,88,31,89,44
4710,4,88,31,89,44
4740,4,88,31,89,81
4770,4,88,14,17,81
4800,4,88,14,17,81
4830,4,88,14,17,81
4860,4,88,14,17,81
4890,4,88,14,14,81
4920,37,2,12,14,17
4950,37,2,12,14,89
4980,4,69,12,14,89
5010,4,69,57,14,0
